metric,cell,method,base_mean,base_best,headroom_to_bound,noise_spread,noise_std,opt_mean,delta_mean,delta_best,beats_noise
total_gain_R,gemma4-31b,textgrad,452.2,538.0,62.0,135.0,47.91,527.4,75.2,57.5,False
total_gain_R,gemma4-31b,ace,452.2,538.0,62.0,135.0,47.91,526.5,74.3,44.5,False
total_gain_R,luna,textgrad,394.4,553.0,47.0,248.0,89.48,427.2,32.8,1.0,False
total_gain_R,luna,ace,394.4,553.0,47.0,248.0,89.48,269.4,-125.0,-96.5,False
total_gain_R,sonnet5-off,textgrad,414.4,545.5,54.5,196.0,67.86,419.0,4.6,-11.0,False
total_gain_R,sonnet5-off,ace,414.4,545.5,54.5,196.0,67.86,441.3,26.9,-49.0,False
total_gain_R,sonnet5-on,textgrad,502.9,562.0,38.0,132.0,44.88,502.4,-0.5,-12.5,False
total_gain_R,sonnet5-on,ace,502.9,562.0,38.0,132.0,44.88,496.6,-6.3,-21.5,False
total_gain_R,opus48,textgrad,555.7,590.0,10.0,95.0,33.72,580.3,24.6,10.0,False
total_gain_R,opus48,ace,555.7,590.0,10.0,95.0,33.72,507.9,-47.8,-6.5,False
total_gain_R,sol,textgrad,115.0,125.0,475.0,25.0,12.25,174.0,59.0,225.0,True
total_gain_R,sol,ace,115.0,125.0,475.0,25.0,12.25,100.0,-15.0,-25.0,False
survival_time_m,gemma4-31b,textgrad,11.5,12.0,0.0,2.5,1.0,11.1,-0.4,0.0,False
survival_time_m,gemma4-31b,ace,11.5,12.0,0.0,2.5,1.0,12.0,0.5,0.0,False
survival_time_m,luna,textgrad,10.1,12.0,0.0,5.5,2.37,10.0,-0.1,0.0,False
survival_time_m,luna,ace,10.1,12.0,0.0,5.5,2.37,6.8,-3.3,0.0,False
survival_time_m,sonnet5-off,textgrad,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,False
survival_time_m,sonnet5-off,ace,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,False
survival_time_m,sonnet5-on,textgrad,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,False
survival_time_m,sonnet5-on,ace,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,False
survival_time_m,opus48,textgrad,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,False
survival_time_m,opus48,ace,12.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,False
survival_time_m,sol,textgrad,1.3,1.5,10.5,0.5,0.24,2.6,1.3,5.0,True
survival_time_m,sol,ace,1.3,1.5,10.5,0.5,0.24,1.0,-0.3,-0.5,False
over_usage_o,gemma4-31b,textgrad,0.12,0.0,-0.0,0.33,0.12,0.06,0.07,-0.0,False
over_usage_o,gemma4-31b,ace,0.12,0.0,-0.0,0.33,0.12,0.1,0.02,-0.0,False
over_usage_o,luna,textgrad,0.2,0.0,-0.0,0.5,0.2,0.31,-0.11,-0.0,False
over_usage_o,luna,ace,0.2,0.0,-0.0,0.5,0.2,0.51,-0.31,-0.0,False
over_usage_o,sonnet5-off,textgrad,0.09,0.0,-0.0,0.25,0.09,0.17,-0.07,-0.0,False
over_usage_o,sonnet5-off,ace,0.09,0.0,-0.0,0.25,0.09,0.0,0.09,-0.0,False
over_usage_o,sonnet5-on,textgrad,0.17,0.08,0.08,0.17,0.07,0.16,0.01,0.08,False
over_usage_o,sonnet5-on,ace,0.17,0.08,0.08,0.17,0.07,0.07,0.1,0.08,False
over_usage_o,opus48,textgrad,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,False
over_usage_o,opus48,ace,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,False
over_usage_o,sol,textgrad,0.85,0.75,0.75,0.25,0.12,0.77,0.08,0.25,False
over_usage_o,sol,ace,0.85,0.75,0.75,0.25,0.12,1.0,-0.15,-0.25,False
equality_e,gemma4-31b,textgrad,0.89,0.95,0.05,0.16,0.05,0.94,0.05,0.04,False
equality_e,gemma4-31b,ace,0.89,0.95,0.05,0.16,0.05,0.97,0.08,0.03,False
equality_e,luna,textgrad,0.93,0.99,0.01,0.2,0.07,0.94,0.01,-0.01,False
equality_e,luna,ace,0.93,0.99,0.01,0.2,0.07,0.84,-0.09,-0.01,False
equality_e,sonnet5-off,textgrad,0.98,0.99,0.01,0.04,0.02,0.93,-0.05,-0.06,False
equality_e,sonnet5-off,ace,0.98,0.99,0.01,0.04,0.02,0.98,0.0,-0.01,False
equality_e,sonnet5-on,textgrad,0.95,0.97,0.03,0.05,0.02,0.97,0.02,0.03,False
equality_e,sonnet5-on,ace,0.95,0.97,0.03,0.05,0.02,0.98,0.03,0.03,False
equality_e,opus48,textgrad,0.98,0.99,0.01,0.02,0.01,0.99,0.01,0.01,False
equality_e,opus48,ace,0.98,0.99,0.01,0.02,0.01,0.98,0.0,0.01,False
equality_e,sol,textgrad,0.66,0.67,0.33,0.02,0.01,0.69,0.03,0.18,True
equality_e,sol,ace,0.66,0.67,0.33,0.02,0.01,0.7,0.04,0.11,True
