cell,method,iteration,reward,spec_index,n_clauses,n_numeric_caps,n_stock_conditionals,n_chars,n_institutional_flags
gemma4-31b,baseline,0,2.21,-4.147,2,0,0,130,0
gemma4-31b,baseline,1,1.946,-4.147,2,0,0,130,0
gemma4-31b,baseline,2,2.223,-4.147,2,0,0,130,0
gemma4-31b,baseline,3,2.233,-4.147,2,0,0,130,0
gemma4-31b,baseline,4,1.555,-4.147,2,0,0,130,0
gemma4-31b,textgrad,0,2.353,-4.147,2,0,0,130,0
gemma4-31b,textgrad,1,2.384,1.07,7,1,2,505,1
gemma4-31b,textgrad,2,1.537,0.326,8,0,0,759,1
gemma4-31b,textgrad,3,2.45,1.868,6,0,6,648,1
gemma4-31b,textgrad,4,2.359,1.418,6,0,3,623,2
gemma4-31b,ace,0,2.135,-4.147,2,0,0,130,0
gemma4-31b,ace,1,2.17,2.908,6,2,2,1143,2
gemma4-31b,ace,2,2.378,2.405,7,0,2,1950,2
gemma4-31b,ace,3,2.262,2.321,7,0,2,1778,2
gemma4-31b,ace,4,2.369,3.731,11,0,2,1800,2
luna,baseline,0,1.906,-4.147,2,0,0,130,0
luna,baseline,1,1.439,-4.147,2,0,0,130,0
luna,baseline,2,2.159,-4.147,2,0,0,130,0
luna,baseline,3,2.374,-4.147,2,0,0,130,0
luna,baseline,4,0.943,-4.147,2,0,0,130,0
luna,textgrad,0,1.014,-4.147,2,0,0,130,0
luna,textgrad,1,1.945,4.302,5,4,4,744,2
luna,textgrad,2,2.338,3.672,5,3,4,777,2
luna,textgrad,3,2.403,3.675,5,3,4,779,2
luna,textgrad,4,0.846,8.484,7,7,7,1019,2
luna,ace,0,2.208,-4.147,2,0,0,130,0
luna,ace,1,0.796,-3.329,1,0,0,200,1
luna,ace,2,-0.464,6.61,9,2,5,2424,3
luna,ace,3,2.227,10.304,15,2,7,2484,4
luna,ace,4,-0.137,4.94,7,2,1,2034,4
sonnet5-off,baseline,0,1.935,-4.147,2,0,0,130,0
sonnet5-off,baseline,1,2.162,-4.147,2,0,0,130,0
sonnet5-off,baseline,2,2.36,-4.147,2,0,0,130,0
sonnet5-off,baseline,3,1.905,-4.147,2,0,0,130,0
sonnet5-off,baseline,4,2.074,-4.147,2,0,0,130,0
sonnet5-off,textgrad,0,1.999,-4.147,2,0,0,130,0
sonnet5-off,textgrad,1,1.982,-2.428,3,0,0,591,0
sonnet5-off,textgrad,2,1.973,-1.488,4,0,0,480,1
sonnet5-off,textgrad,3,2.131,-1.2,4,0,0,660,1
sonnet5-off,textgrad,4,1.899,-0.806,5,0,0,693,1
sonnet5-off,ace,0,2.184,-4.147,2,0,0,130,0
sonnet5-off,ace,1,2.245,5.631,7,3,4,1321,3
sonnet5-off,ace,2,2.243,4.143,6,2,3,1219,3
sonnet5-off,ace,3,2.314,6.434,6,4,5,1453,3
sonnet5-off,ace,4,2.133,6.282,10,0,8,1347,3
sonnet5-on,baseline,0,2.11,-4.147,2,0,0,130,0
sonnet5-on,baseline,1,2.232,-4.147,2,0,0,130,0
sonnet5-on,baseline,2,2.166,-4.147,2,0,0,130,0
sonnet5-on,baseline,3,2.056,-4.147,2,0,0,130,0
sonnet5-on,baseline,4,2.164,-4.147,2,0,0,130,0
sonnet5-on,textgrad,0,2.125,-4.147,2,0,0,130,0
sonnet5-on,textgrad,1,1.888,-1.361,2,0,2,497,1
sonnet5-on,textgrad,2,2.273,1.489,3,1,4,661,2
sonnet5-on,textgrad,3,2.398,3.115,6,1,5,806,2
sonnet5-on,textgrad,4,2.126,5.563,8,1,9,960,2
sonnet5-on,ace,0,2.114,-4.147,2,0,0,130,0
sonnet5-on,ace,1,2.285,5.525,5,3,5,1639,3
sonnet5-on,ace,2,2.179,4.943,6,3,3,1409,3
sonnet5-on,ace,3,2.4,5.738,6,3,5,1409,3
sonnet5-on,ace,4,2.278,4.88,7,1,9,1568,1
opus48,baseline,0,2.478,-4.147,2,0,0,130,0
opus48,baseline,1,2.31,-4.147,2,0,0,130,0
opus48,baseline,2,2.395,-4.147,2,0,0,130,0
opus48,baseline,3,2.437,-4.147,2,0,0,130,0
opus48,baseline,4,2.464,-4.147,2,0,0,130,0
opus48,textgrad,0,2.483,-4.147,2,0,0,130,0
opus48,textgrad,1,2.393,2.429,5,4,2,535,1
opus48,textgrad,2,2.453,2.729,6,1,4,816,2
opus48,textgrad,3,2.5,3.366,7,2,3,831,2
opus48,textgrad,4,2.481,4.801,7,3,3,820,3
opus48,ace,0,2.412,-4.147,2,0,0,130,0
opus48,ace,1,2.321,4.851,9,1,3,1751,3
opus48,ace,2,2.259,8.247,9,5,5,1613,3
opus48,ace,3,2.226,8.847,10,5,6,1373,3
opus48,ace,4,2.469,9.621,10,4,9,1809,3
sol,baseline,0,-0.426,-4.147,2,0,0,130,0
sol,baseline,1,-0.425,-4.147,2,0,0,130,0
sol,baseline,2,-0.083,-4.147,2,0,0,130,0
sol,baseline,3,-0.083,-4.147,2,0,0,130,0
sol,baseline,4,-0.083,-4.147,2,0,0,130,0
sol,textgrad,0,1.05,-4.147,2,0,0,130,0
sol,textgrad,1,-0.364,1.882,4,3,3,580,1
sol,textgrad,2,-0.097,4.477,7,2,4,773,3
sol,textgrad,3,0.35,1.727,6,0,5,860,1
sol,textgrad,4,-0.54,3.024,6,1,3,742,3
sol,ace,0,-0.406,-4.147,2,0,0,130,0
sol,ace,1,-0.429,3.519,8,0,2,1919,3
sol,ace,2,-0.361,4.662,7,1,4,1982,3
sol,ace,3,-0.412,2.692,6,0,2,1668,3
sol,ace,4,-0.399,6.118,8,2,5,2071,3
