cond,prosocial,rounds,degenerate,survival_time_m,total_gain_R,efficiency_u,equality_e,over_usage_o
code_law,0,2,0,2,112.0,1.0,0.9678571428571429,1.0
code_law,0,12,0,12,388.0,0.6466666666666667,0.9762886597938144,0.08333333333333333
code_law,0,3,0,3,147.0,0.98,0.926530612244898,1.0
code_law,0,3,0,3,132.0,0.88,0.906060606060606,1.0
code_law,0,3,0,3,137.0,0.9133333333333333,0.8686131386861313,1.0
code_law,1,2,0,2,135.0,1.0,0.8962962962962963,1.0
code_law,1,3,0,3,129.0,0.86,0.9286821705426357,0.3333333333333333
code_law,1,3,0,3,137.0,0.9133333333333333,0.8452554744525548,1.0
code_law,1,1,0,1,100.0,1.0,0.62,1.0
code_law,1,2,0,2,125.0,1.0,0.8752,1.0
code_law,2,4,0,4,163.0,0.815,0.7766871165644171,1.0
code_law,2,1,0,1,100.0,1.0,0.656,1.0
code_law,2,12,0,12,346.0,0.5766666666666667,0.9606936416184971,0.16666666666666666
code_law,2,5,0,5,191.0,0.764,0.8722513089005235,0.8
code_law,2,5,0,5,161.0,0.644,0.7763975155279503,0.8
code_law,3,2,0,2,108.0,1.0,0.9074074074074074,1.0
code_law,3,3,0,3,167.0,1.0,0.8155688622754491,1.0
code_law,3,12,0,12,439.0,0.7316666666666667,0.9708428246013667,0.16666666666666666
code_law,3,12,0,12,492.0,0.8200000000000001,0.9967479674796748,0.08333333333333333
code_law,3,12,0,12,344.0,0.5733333333333333,0.9418604651162791,0.16666666666666666
code_law,4,1,0,1,60.0,1.0,0.8666666666666667,1.0
code_law,4,12,0,12,340.0,0.5666666666666667,0.9764705882352941,0.08333333333333333
code_law,4,12,0,12,391.0,0.6516666666666666,0.9815856777493606,0.08333333333333333
code_law,4,12,0,12,510.0,0.85,1.0,0.0
code_law,4,12,0,12,397.0,0.6616666666666666,0.8811083123425693,0.3333333333333333
code_law,5,12,0,12,312.0,0.52,0.9512820512820512,0.08333333333333333
code_law,5,12,0,12,498.0,0.83,0.980722891566265,0.08333333333333333
